freq,scheme,benefit_type,target_group,unit,country,year,expenditure
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LU,2015,7.82
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LU,2016,7.95
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LU,2017,8.47
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LU,2018,7.16
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LU,2019,10.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LU,2020,9.85
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LU,2021,10.89
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LU,2022,10.51
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LV,2015,0.24
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LV,2016,0.2
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LV,2017,0.18
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LV,2018,0.14
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LV,2019,0.12
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LV,2020,0.88
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LV,2021,1.65
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),LV,2022,0.1
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),MT,2015,72.62
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),MT,2016,53.55
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),MT,2017,49.62
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),MT,2018,46.38
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),MT,2019,42.11
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),MT,2020,43.73
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),MT,2021,44.42
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),MT,2022,49.24
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),NL,2015,101.5
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),NL,2016,105.06
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),NL,2017,101.79
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),NL,2018,99.73
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),NL,2019,104.37
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),NL,2020,133.21
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),NL,2021,124.29
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),NL,2022,115.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PL,2015,33.71
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PL,2016,80.85
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PL,2017,89.08
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PL,2018,79.54
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PL,2019,33.48
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PL,2020,28.46
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PL,2021,24.02
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PL,2022,24.77
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PT,2015,72.82
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PT,2016,74.97
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PT,2017,75.11
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PT,2018,80.22
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PT,2019,86.19
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PT,2020,86.02
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PT,2021,80.76
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),PT,2022,84.96
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),RO,2015,8.44
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),RO,2016,6.41
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),RO,2017,5.88
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),RO,2018,5.02
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),RO,2019,4.23
